word,definition
extraneous,irrelevant
facetious,joking inappropriately
facilitate,to make easier
fallacious,based on false reasoning
fastidious,very careful about details
fatuous,foolish
fawning,seeking favor
felicitous,well-suited
fervor,passion
fickle,changeable
flagrant,obviously offensive
fledgling,beginner
florid,flowery
foment,to incite
forbearance,patience
forestall,to prevent
fortuitous,happening by chance
fractious,unruly
frugal,economical
furtive,secretive
garrulous,talkative
genial,friendly
germane,relevant
glib,fluent but insincere
gregarious,sociable
guile,cunning
gullible,easily deceived
hackneyed,overused
halcyon,peaceful
harangue,long angry speech
hedonist,pleasure seeker
hegemony,dominance
heretical,contrary to accepted beliefs
heterogeneous,diverse
histrionic,overly dramatic
homogeneous,uniform
hyperbole,exaggeration
iconoclast,one who attacks traditions
idiosyncrasy,peculiarity
ignominious,shameful
illicit,illegal
immutable,unchangeable
impartial,unbiased
impecunious,poor
impediment,obstacle
imperious,domineering
imperturbable,calm
impetuous,impulsive
implacable,unable to be appeased
implicit,implied
imprudent,unwise
impugn,to challenge
inadvertent,unintentional
inchoate,just beginning
incipient,beginning
incongruous,inappropriate
incontrovertible,undeniable
incorrigible,unable to be reformed
incredulous,skeptical
inculcate,to instill
incumbent,obligatory
indefatigable,tireless
indigenous,native
indigent,poor
indolent,lazy
indomitable,unconquerable
ineffable,indescribable
inept,incompetent
inexorable,relentless
ingenuous,naive
inherent,natural
inimical,hostile
iniquity,wickedness
innate,inborn
innocuous,harmless
insatiable,unable to be satisfied
insidious,treacherous
insolvent,bankrupt
insular,narrow-minded
intangible,unable to be touched
intractable,stubborn
intrepid,fearless
intrinsic,essential
inundate,to flood
invective,harsh criticism
irascible,easily angered
irresolute,indecisive
itinerant,traveling
jocular,humorous
judicious,wise
laconic,using few words
languid,lacking energy
largesse,generosity
latent,hidden
laudable,praiseworthy
lethargic,sluggish
levity,lightness
licentious,immoral
limpid,clear
listless,lacking energy
lithe,flexible
lugubrious,mournful
luminous,bright
magnanimous,generous
maladroit,clumsy
malevolent,evil
malleable,easily shaped
maverick,nonconformist
meager,scanty
mendacious,dishonest
mercurial,changeable
meticulous,very careful
misanthrope,hater of humanity
mitigate,to lessen
mollify,to soothe
morose,gloomy
mundane,ordinary
munificent,generous
myriad,countless
nadir,lowest point
nascent,emerging
nebulous,vague
nefarious,evil
negligible,insignificant
neophyte,beginner
nonchalant,indifferent
nostalgic,longing for the past
notorious,famous for bad reasons
novice,beginner
noxious,harmful
nuance,subtle difference
obdurate,stubborn
obfuscate,to confuse
oblique,indirect
oblivious,unaware
obscure,unclear
obsequious,overly submissive
obstinate,stubborn
obtuse,slow to understand
odious,hateful
officious,meddlesome
ominous,threatening
onerous,burdensome
opaque,not transparent
opportunist,one who takes advantage
opprobrium,harsh criticism
ornate,elaborate
orthodox,conventional
ostentatious,showy
palliate,to make less severe
palpable,able to be touched
panacea,cure-all
paragon,model of excellence
paramount,most important
parochial,narrow in scope
parsimonious,stingy
partisan,biased supporter
patent,obvious
pathological,diseased
paucity,scarcity
pedantic,overly concerned with details
pellucid,clear
penchant,inclination
penury,poverty
perennial,lasting
perfidious,treacherous
perfunctory,done without care
peripatetic,traveling
pernicious,harmful
perspicacious,having keen insight
pertinacious,persistent
pervasive,widespread
petulant,irritable
philanthropist,one who helps others
phlegmatic,calm
piety,devotion
pinnacle,highest point
pious,devout
placate,to appease
placid,calm
platitude,trite remark
plausible,believable
plenitude,abundance
plethora,excess
poignant,emotionally moving
polemic,controversial argument
ponderous,heavy
portent,omen
pragmatic,practical
precarious,unstable
precipitate,to cause suddenly
preclude,to prevent
precocious,mature for one's age
predilection,preference
preeminent,outstanding
presumptuous,arrogant
pretentious,showy
prevaricate,to lie
pristine,pure
probity,integrity
proclivity,tendency
procrastinate,to delay
prodigal,wasteful
prodigious,enormous
profligate,wasteful
profound,deep
profuse,abundant
proliferate,to multiply
prolific,productive
propensity,tendency
propitious,favorable
propriety,appropriateness
prosaic,ordinary
proscribe,to forbid
protean,changeable
provincial,narrow-minded
provocative,stimulating
prudent,wise
puerile,childish
pugnacious,combative
punctilious,very careful
pungent,sharp-tasting
pusillanimous,cowardly
putrid,rotten
quaint,charmingly old-fashioned
quandary,dilemma
querulous,complaining
quiescent,inactive
quintessential,most typical
quixotic,idealistic but impractical
quotidian,daily
rancorous,bitter
rapacious,greedy
rarefied,refined
raucous,harsh-sounding
recalcitrant,stubborn
recant,to take back
reclusive,solitary
recondite,obscure
redoubtable,formidable
redundant,unnecessary
refute,to disprove
relegate,to assign to lower position
relinquish,to give up
remiss,negligent
remonstrate,to protest
reparation,compensation
replete,full
reprehensible,blameworthy
repudiate,to reject
rescind,to cancel
resolute,determined
reticent,reserved
reverent,respectful
rhetoric,art of speaking
ribald,vulgar
rife,abundant
robust,strong
rudimentary,basic
sagacious,wise
salient,prominent
salutary,beneficial
sanctimonious,hypocritically pious
sanguine,optimistic
sardonic,mocking
scrupulous,careful
scrutinize,to examine closely
secular,worldly
sedentary,inactive
sedulous,diligent
seminal,influential
sententious,moralizing
serendipity,fortunate accident
serene,calm
servile,submissive
shoddy,inferior
skeptical,doubtful
solemn,serious
solicitous,concerned
somnolent,sleepy
sophomoric,immature
sordid,dirty
sparse,scanty
specious,seemingly true but false
spurious,false
squalid,filthy
staid,serious
static,unchanging
steadfast,loyal
stoic,unemotional
strident,harsh
stringent,strict
stupefy,to stun
sublime,inspiring awe
substantiate,to prove
subtle,not obvious
subversive,undermining
succinct,brief
superfluous,unnecessary
supple,flexible
suppress,to hold back
surreptitious,secret
sycophant,flatterer
tacit,unspoken
taciturn,silent
tangential,only slightly related
tantamount,equivalent
tawdry,cheap and showy
tedious,boring
temerity,boldness
tenacious,persistent
tentative,uncertain
tenuous,weak
terse,brief
timorous,fearful
tirade,angry speech
torpid,sluggish
tortuous,winding
tractable,easily managed
transient,temporary
trepidation,fear
trite,overused
truculent,aggressive
turbid,muddy
turgid,swollen
ubiquitous,everywhere
umbrage,offense
unctuous,oily
undermine,to weaken
undulate,to move in waves
unequivocal,clear
unfetter,to free
uniform,consistent
unimpeachable,beyond reproach
unkempt,messy
unprecedented,never before seen
unscrupulous,dishonest
unwitting,unaware
upbraid,to scold
urbane,sophisticated
usurp,to take illegally
utilitarian,practical
vacillate,to waver
vacuous,empty
vehement,passionate
venerable,respected
veracity,truthfulness
verbose,wordy
viable,workable
vicarious,experienced through another
vicissitude,change of fortune
vigilant,watchful
vigorous,energetic
vilify,to defame
vindicate,to clear of blame
virtuoso,expert
viscous,thick
vitiate,to corrupt
vitriolic,bitter
vivacious,lively
vocation,calling
volatile,unstable
voracious,greedy
wary,cautious
waver,to hesitate
whimsical,fanciful
wily,cunning
winsome,charming
zealot,fanatic
zenith,highest point
